product_id,cust_id,method,quantity,date_of_purchase
354,74547,Fax,1,1/16/2019
836,31435,Fax,4,9/13/2016
417,37024,Fax,1,2/22/2018
775,71465,Mail,2,4/10/2018
473,42571,Mail,4,12/12/2018
834,18169,Mail,3,8/4/2016
534,87560,Web,4,6/23/2016
324,44892,Web,1,5/28/2015
843,86001,Telephone,1,1/24/2016
870,69409,Sales visit,4,8/11/2015
219,14769,Web,3,9/13/2018
343,99792,Fax,4,8/8/2016
944,20230,Web,2,3/25/2019
852,38553,Mail,1,7/29/2015
613,86325,Sales visit,4,8/25/2018
589,72670,Web,3,8/10/2018
742,70970,Web,3,12/14/2017
463,16858,Web,1,1/13/2017
644,10457,Web,1,8/4/2016
219,46572,Web,2,11/3/2017
974,66943,Mail,4,7/23/2016
873,85598,Sales visit,4,2/26/2018
895,39256,Telephone,3,7/27/2016
127,29889,Sales visit,1,5/1/2016
493,25876,Fax,4,9/20/2016
923,92650,Web,2,11/19/2015
644,69745,Web,4,8/8/2017
936,87560,Mail,4,8/16/2015
877,28625,Mail,3,7/29/2018
771,15192,Telephone,3,2/10/2018
811,80465,Telephone,2,10/24/2016
943,56534,Web,3,5/9/2016
636,23035,Fax,1,5/16/2018
551,11463,Sales visit,1,5/7/2017
596,28690,Sales visit,1,11/20/2017
896,21147,Telephone,2,9/22/2015
891,88131,Web,4,2/12/2019
900,39584,Mail,1,6/12/2016
722,22483,Web,3,8/31/2018
562,55835,Web,3,2/18/2017
935,35838,Mail,3,4/15/2017
123,94023,Web,4,1/15/2018
638,44566,Telephone,2,7/6/2018
398,29434,Telephone,1,8/20/2015
933,53917,Mail,1,11/29/2016
946,91268,Telephone,3,6/23/2015
562,88447,Sales visit,4,1/13/2017
247,53435,Sales visit,3,7/25/2018
635,54217,Telephone,3,3/5/2016
964,96539,Sales visit,4,8/4/2018
106,29190,Sales visit,2,2/16/2018
202,67126,Sales visit,3,6/15/2017
260,71318,Web,1,5/19/2017
162,81982,Fax,2,7/29/2015
130,87637,Mail,2,3/7/2016
591,46112,Mail,3,4/7/2018
109,25876,Mail,4,2/24/2018
659,62042,Telephone,4,12/30/2015
324,76567,Mail,4,3/11/2016
803,15639,Fax,1,8/31/2016
495,73904,Mail,4,9/13/2018
662,63920,Mail,2,12/5/2018
847,85163,Telephone,2,5/17/2015
678,78599,Web,3,12/26/2018
902,53499,Telephone,1,4/24/2015
926,24740,Web,4,11/5/2015
161,81448,Fax,2,10/28/2016
916,39061,Telephone,2,8/15/2015
205,88185,Telephone,2,10/23/2016
858,33052,Telephone,2,3/9/2019
666,73023,Web,2,7/2/2016
987,67650,Sales visit,2,6/12/2017
557,49040,Telephone,2,1/14/2017
436,51073,Mail,4,10/31/2015
568,51818,Sales visit,4,4/11/2019
521,27363,Web,1,7/31/2017
749,80619,Mail,1,7/17/2016
619,47258,Web,3,6/21/2016
759,24948,Mail,3,7/23/2015
339,18564,Sales visit,3,1/11/2018
153,75074,Web,2,3/25/2016
208,83351,Web,3,7/8/2018
634,36213,Sales visit,4,5/28/2016
669,75131,Telephone,4,5/13/2017
724,92012,Telephone,4,8/4/2016
399,19904,Telephone,2,5/25/2016
332,32604,Fax,4,7/22/2016
821,81860,Mail,4,8/16/2017
269,74585,Web,3,10/10/2018
765,71465,Telephone,4,9/19/2017
120,22125,Telephone,2,2/12/2017
497,96160,Fax,3,2/9/2016
296,52662,Web,4,9/25/2016
711,55468,Fax,3,7/12/2017
672,88586,Web,3,5/18/2015
579,73873,Web,2,12/21/2015
578,71162,Web,1,9/1/2018
439,93126,Fax,3,11/29/2018
900,25684,Sales visit,3,4/26/2018
541,69256,Web,1,6/17/2016
876,95345,Mail,2,3/20/2017
539,93371,Sales visit,4,10/1/2015
511,37024,Sales visit,3,1/3/2019
753,26751,Mail,3,2/20/2019
779,60244,Mail,2,8/29/2016
274,43119,Web,4,8/18/2015
701,42379,Sales visit,3,8/12/2018
898,61600,Web,1,1/6/2016
292,57113,Mail,3,9/12/2016
368,63448,Sales visit,2,8/31/2018
170,21399,Telephone,3,3/4/2016
766,85559,Mail,2,10/18/2017
331,28958,Mail,2,8/12/2018
860,45844,Mail,1,5/26/2016
354,61205,Sales visit,1,3/8/2016
136,47258,Web,1,11/21/2018
445,11215,Web,4,3/4/2016
344,71291,Web,2,9/27/2017
919,76729,Mail,1,8/28/2017
441,39803,Mail,1,3/29/2017
502,22002,Telephone,1,2/20/2019
255,53845,Web,3,5/1/2017
948,78569,Web,4,8/12/2017
112,83892,Telephone,1,3/31/2019
427,65193,Web,2,10/27/2015
184,12657,Mail,3,2/24/2018
252,33117,Mail,3,1/1/2019
713,15180,Fax,4,10/20/2016
957,11580,Web,1,2/1/2019
169,36642,Mail,1,2/8/2018
175,21355,Telephone,1,12/31/2018
159,67045,Mail,2,8/1/2017
254,78463,Mail,4,4/22/2016
875,33290,Web,2,10/15/2018
543,85898,Fax,1,8/11/2016
741,69425,Mail,2,5/12/2015
182,72692,Web,2,10/14/2016
488,45168,Mail,3,4/16/2016
781,86788,Telephone,1,5/4/2017
547,75172,Telephone,1,7/26/2017
543,15391,Mail,1,8/4/2018
600,83282,Fax,4,10/18/2016
502,84352,Mail,3,3/24/2017
517,50468,Sales visit,1,7/3/2016
909,96539,Web,1,2/13/2019
983,65757,Sales visit,4,4/7/2017
455,64311,Mail,2,3/9/2017
589,18365,Sales visit,2,8/2/2018
126,56402,Sales visit,2,6/25/2015
697,90064,Web,1,3/23/2019
580,32872,Web,3,3/31/2018
719,57096,Mail,2,12/14/2015
462,96912,Fax,4,9/5/2016
273,65061,Sales visit,4,5/15/2018
202,53934,Telephone,4,10/1/2017
424,31601,Fax,3,3/21/2019
725,43751,Fax,3,7/13/2015
348,72861,Sales visit,1,11/2/2015
351,68624,Web,3,4/17/2015
214,88179,Mail,1,6/8/2015
359,94615,Fax,3,1/21/2019
892,36213,Telephone,4,8/7/2016
537,45869,Web,1,6/21/2018
851,94492,Telephone,4,4/26/2017
367,49090,Telephone,2,5/12/2017
506,67560,Web,2,11/10/2016
477,69896,Mail,4,6/26/2018
717,26609,Mail,2,10/31/2017
462,69785,Fax,3,1/30/2016
719,62258,Fax,2,4/1/2018
220,51613,Web,4,2/9/2017
927,54844,Fax,4,12/29/2016
540,62015,Web,1,7/28/2015
552,69086,Fax,2,7/15/2015
768,94287,Mail,2,3/27/2017
110,44721,Mail,3,9/7/2017
827,78167,Mail,1,10/10/2017
470,13855,Mail,2,9/12/2017
773,12268,Fax,4,11/2/2016
243,27238,Telephone,3,2/24/2017
511,87888,Telephone,3,1/26/2017
126,44543,Telephone,1,12/22/2018
145,11406,Telephone,3,1/3/2018
113,62673,Mail,2,10/26/2016
569,96680,Web,3,6/24/2017
800,38446,Telephone,3,4/24/2016
612,18188,Telephone,3,7/4/2016
603,97237,Fax,4,1/29/2018
403,84881,Telephone,4,10/4/2017
689,99247,Telephone,4,2/28/2018
454,87074,Mail,1,4/30/2015
901,52027,Sales visit,3,10/22/2016
986,51571,Mail,2,2/1/2018
865,34543,Fax,3,9/21/2015
955,66667,Sales visit,4,7/31/2017
232,94615,Mail,2,11/5/2017
481,52521,Web,1,1/10/2017
336,82177,Fax,3,8/28/2018
553,31759,Web,1,6/6/2016
350,51294,Telephone,3,10/25/2016
946,87888,Telephone,3,3/10/2018
217,88801,Telephone,1,8/10/2018
206,92012,Fax,4,5/12/2018
333,59393,Sales visit,2,5/31/2018
463,28464,Mail,4,8/7/2017
444,61022,Mail,2,4/20/2016
216,14062,Fax,2,8/7/2017
253,95617,Fax,4,3/1/2018
100,58126,Telephone,2,2/6/2016
487,45717,Telephone,4,12/29/2016
690,34874,Fax,3,11/6/2016
645,22377,Mail,4,12/30/2015
132,79179,Web,2,1/26/2018
363,43647,Sales visit,2,7/15/2016
210,85430,Sales visit,1,5/28/2018
541,52600,Fax,2,12/8/2016
244,28665,Telephone,4,3/9/2018
751,63147,Mail,2,7/8/2017
676,44793,Web,3,1/4/2017
324,50281,Telephone,4,7/7/2016
656,82381,Mail,4,11/8/2017
465,76005,Mail,3,3/2/2016
332,10899,Mail,4,5/1/2017
544,46572,Mail,1,5/23/2015
531,44899,Fax,1,10/17/2015
362,24855,Telephone,3,12/1/2017
721,58525,Telephone,2,3/11/2016
545,41708,Telephone,4,6/12/2017
825,92925,Fax,4,11/25/2016
451,72812,Mail,2,3/4/2019
219,67172,Fax,4,1/19/2017
725,19676,Web,3,8/25/2018
718,20691,Sales visit,4,5/27/2017
848,84787,Fax,4,1/31/2018
660,10752,Fax,2,2/16/2018
505,94983,Telephone,3,9/16/2016
208,67282,Fax,1,6/13/2015
688,34719,Sales visit,3,3/18/2016
447,36181,Fax,4,8/28/2015
894,63093,Web,2,1/26/2018
701,87336,Web,3,1/27/2018
159,87928,Fax,2,2/24/2016
262,85712,Mail,2,3/24/2018
329,19661,Sales visit,3,9/24/2016
917,42310,Telephone,1,6/9/2015
311,25877,Telephone,3,5/24/2015
935,48004,Telephone,1,2/28/2018
897,79055,Sales visit,4,10/18/2015
836,25657,Web,4,12/17/2015
834,46780,Sales visit,2,1/29/2017
656,22201,Web,1,12/22/2016
399,79465,Web,1,12/11/2016
581,78320,Web,3,6/30/2018
377,85834,Telephone,2,11/3/2017
402,86897,Mail,4,11/5/2017
838,63348,Telephone,3,11/15/2015
830,11402,Mail,3,6/12/2018
362,80085,Fax,4,11/12/2017
257,22471,Telephone,2,12/4/2017
478,14489,Fax,4,4/20/2017
277,69785,Sales visit,1,2/3/2018
111,62164,Mail,1,9/10/2018
610,65193,Fax,1,3/18/2019
195,28243,Mail,3,6/14/2018
924,95857,Web,4,2/27/2016
929,96475,Fax,4,3/29/2016
163,42880,Mail,3,6/30/2016
394,23232,Sales visit,4,9/27/2015
232,39279,Web,3,1/17/2016
381,59576,Mail,4,7/19/2018
260,21147,Sales visit,3,8/30/2015
196,82367,Fax,4,3/18/2019
611,88338,Telephone,1,5/30/2017
488,70982,Mail,4,10/22/2017
465,90511,Fax,4,10/11/2016
355,53073,Sales visit,1,4/6/2016
205,81681,Fax,4,10/9/2016
322,39707,Fax,1,3/26/2016
341,40685,Telephone,1,9/10/2015
147,23559,Fax,3,6/1/2015
866,75841,Web,4,8/2/2016
360,69498,Sales visit,1,7/18/2018
374,78615,Telephone,3,1/12/2018
427,69636,Mail,3,6/18/2017
604,81221,Fax,3,8/31/2015
952,11463,Sales visit,3,3/5/2019
514,41910,Mail,2,3/25/2019
932,67537,Sales visit,2,1/26/2019
735,44283,Fax,3,3/18/2016
465,84449,Fax,1,11/14/2017
244,85254,Fax,4,8/18/2016
602,51167,Mail,3,10/11/2016
460,28200,Sales visit,1,1/3/2018
158,87153,Fax,3,8/22/2016
255,49983,Telephone,1,8/7/2015
785,91285,Telephone,4,9/24/2018
276,59172,Telephone,2,6/3/2018
958,85438,Web,3,6/13/2017
111,66038,Web,3,1/11/2019
341,85579,Mail,2,2/16/2018
199,60456,Web,1,8/11/2016
103,44279,Mail,3,7/25/2017
391,96600,Telephone,1,4/10/2017
253,65065,Web,1,12/7/2015
675,69384,Sales visit,2,5/7/2018
737,69946,Mail,1,7/25/2018
158,26751,Sales visit,4,9/13/2016
820,58497,Fax,4,1/6/2017
171,22458,Telephone,3,2/1/2016
161,53046,Sales visit,3,4/15/2017
453,97926,Mail,4,12/20/2017
114,54328,Mail,3,4/24/2016
461,78193,Web,4,6/12/2017
103,47407,Telephone,1,2/16/2019
744,70341,Sales visit,4,5/8/2015
633,18101,Sales visit,4,4/13/2016
317,87971,Mail,2,8/23/2018
967,24605,Mail,4,1/8/2016
912,66698,Telephone,1,2/1/2018
302,44658,Mail,2,5/12/2015
424,76968,Web,3,10/22/2017
601,10297,Fax,2,7/28/2017
239,54609,Sales visit,4,8/4/2018
350,42879,Telephone,1,8/1/2017
878,89887,Mail,3,10/13/2015
512,75249,Web,3,4/1/2019
307,90009,Mail,2,10/24/2015
476,32848,Sales visit,1,12/29/2016
904,18815,Fax,2,4/17/2016
785,88080,Sales visit,2,7/23/2016
632,95727,Mail,3,7/2/2015
310,51874,Web,2,10/28/2018
520,19058,Telephone,3,4/18/2018
443,81860,Mail,4,6/10/2017
481,18489,Mail,1,10/28/2017
556,79465,Sales visit,2,9/6/2016
130,41390,Mail,3,2/11/2016
475,19690,Web,2,7/4/2018
796,14489,Sales visit,4,5/21/2015
236,54483,Telephone,4,12/2/2016
245,12094,Telephone,4,5/28/2016
805,94742,Mail,3,1/27/2017
473,70537,Web,1,4/8/2018
118,87779,Sales visit,1,2/13/2018
470,99291,Sales visit,1,8/17/2016
260,96859,Web,1,3/10/2018
759,56433,Sales visit,3,10/14/2018
900,47283,Mail,1,12/23/2015
835,43132,Telephone,4,5/12/2017
879,24242,Web,3,8/15/2015
755,96173,Web,4,12/20/2017
224,56433,Sales visit,3,6/22/2016
597,87246,Telephone,2,3/25/2017
934,30157,Telephone,3,7/5/2018
676,28928,Fax,1,5/21/2015
906,68042,Fax,2,1/23/2019
746,13148,Sales visit,1,8/15/2018
262,22002,Fax,2,8/9/2016
290,59393,Web,2,2/11/2018
489,68042,Sales visit,2,4/24/2017
962,91304,Sales visit,4,11/12/2017
806,52499,Fax,1,7/22/2017
803,11176,Mail,4,12/1/2016
695,47339,Sales visit,1,8/9/2016
813,64010,Fax,1,12/21/2017
741,64065,Telephone,3,4/5/2018
687,46301,Mail,4,6/30/2017
208,52581,Telephone,2,9/3/2015
886,98343,Sales visit,4,7/11/2016
166,25570,Sales visit,1,5/6/2018
402,88749,Telephone,4,6/24/2018
530,57555,Web,1,2/18/2017
698,84506,Telephone,4,8/28/2018
402,97229,Telephone,4,10/5/2016
199,85288,Mail,4,9/7/2017
939,76838,Fax,2,3/16/2016
344,81681,Sales visit,3,10/18/2016
544,41252,Fax,1,9/13/2016
404,74547,Web,4,11/14/2018
522,44543,Fax,2,11/5/2018
534,48561,Web,4,7/28/2016
168,10411,Telephone,2,3/5/2019
756,72840,Fax,1,5/6/2017
837,33629,Fax,3,11/7/2017
497,82476,Web,3,8/31/2015
844,51571,Fax,3,4/10/2018
212,72553,Sales visit,1,1/8/2017
417,62085,Mail,2,10/10/2018
707,60240,Web,3,10/8/2018
470,95969,Mail,4,1/17/2017
923,90317,Web,2,1/29/2017
311,52642,Fax,2,6/12/2017
505,84885,Mail,3,11/7/2017
661,58171,Web,4,4/13/2019
496,74431,Fax,3,7/24/2017
721,57657,Mail,1,4/2/2016
776,52642,Sales visit,4,6/7/2018
472,14821,Telephone,3,9/30/2018
466,65001,Telephone,4,1/23/2019
875,71007,Mail,4,1/12/2017
101,75249,Fax,1,11/11/2015
255,58149,Mail,1,6/9/2018
229,35364,Sales visit,3,7/1/2016
336,62156,Fax,4,3/6/2016
476,73904,Telephone,1,11/15/2015
893,44793,Web,2,3/1/2018
806,85546,Sales visit,2,5/9/2016
865,12076,Mail,2,6/7/2018
659,89887,Web,4,7/30/2017
655,19672,Web,4,7/15/2018
315,55144,Mail,4,1/29/2016
881,59352,Mail,2,4/9/2016
943,85080,Telephone,2,6/25/2015
182,42380,Telephone,3,6/22/2018
909,25841,Telephone,4,1/3/2016
512,76005,Fax,3,4/11/2018
772,64311,Fax,4,8/22/2015
683,12210,Telephone,3,7/26/2016
132,52689,Sales visit,2,8/16/2015
208,62042,Telephone,4,6/14/2018
820,20199,Fax,2,4/17/2015
837,79465,Web,4,5/21/2016
235,26241,Fax,2,12/3/2015
778,49347,Mail,2,9/13/2018
315,38553,Web,2,9/12/2017
489,72840,Web,4,10/19/2015
650,90511,Web,1,3/27/2018
720,92382,Telephone,4,7/14/2017
756,10899,Mail,2,9/8/2015
227,51874,Mail,1,9/3/2016
171,95330,Fax,4,1/19/2017
109,14062,Telephone,1,1/1/2017
219,22483,Telephone,4,2/2/2017
302,63479,Web,4,10/16/2018
318,50197,Mail,2,11/24/2018
103,66390,Telephone,4,10/28/2017
466,67037,Fax,4,4/21/2017
655,71807,Sales visit,2,12/16/2016
623,42310,Web,2,3/7/2016
272,88882,Fax,4,4/27/2016
473,29390,Telephone,2,10/14/2015
581,45667,Sales visit,1,2/29/2016
530,81448,Fax,1,12/21/2017
370,67639,Fax,2,2/26/2019
142,63380,Sales visit,2,7/19/2017
857,58029,Fax,1,1/20/2017
843,80755,Fax,1,8/17/2018
690,22125,Mail,3,10/4/2018
496,73413,Web,3,9/13/2015
286,94322,Mail,4,8/9/2017
265,29027,Mail,4,4/1/2019
703,83153,Fax,1,7/9/2018
741,41993,Sales visit,2,10/1/2016
698,26753,Fax,4,12/20/2016
974,67329,Fax,4,3/23/2016
266,83892,Web,4,2/8/2018
274,22483,Sales visit,4,4/13/2018
562,12848,Fax,1,11/10/2016
538,64065,Fax,1,12/23/2016
323,28335,Web,3,2/2/2018
365,24854,Web,4,12/21/2015
513,42455,Web,3,10/6/2016
531,86991,Fax,3,7/23/2015
537,49828,Fax,3,7/24/2017
454,38194,Mail,1,4/10/2017
506,49923,Fax,4,12/1/2017
479,48442,Web,4,11/9/2015
266,14370,Sales visit,2,10/28/2017
805,64178,Telephone,2,7/29/2018
501,83153,Fax,2,8/1/2015
377,53652,Mail,4,10/3/2017
206,59654,Web,4,8/18/2016
851,19840,Sales visit,1,5/2/2018
764,78946,Sales visit,3,11/13/2015
281,62715,Telephone,2,7/26/2015
792,83166,Sales visit,2,2/18/2018
233,48004,Sales visit,4,7/19/2017
955,41923,Web,2,3/15/2017
387,72782,Web,1,5/29/2017
263,23232,Sales visit,2,10/19/2018
827,39421,Mail,1,8/21/2018
754,63969,Fax,2,7/29/2018
126,54977,Web,2,6/23/2015
616,61205,Fax,2,1/8/2019
965,14678,Web,3,5/31/2015
732,65193,Mail,1,12/12/2017
348,55376,Telephone,3,8/7/2017
150,97258,Sales visit,3,2/27/2016
691,99291,Mail,1,3/12/2019
595,43647,Mail,4,9/27/2016
372,19694,Sales visit,3,9/6/2016
995,98335,Fax,3,7/18/2018
348,20629,Web,3,2/21/2017
617,26505,Telephone,3,9/16/2017
839,63633,Mail,3,3/26/2018
771,79178,Fax,1,8/3/2018
114,16860,Web,4,2/8/2018
953,63641,Mail,3,8/24/2016
981,95330,Telephone,3,6/14/2017
206,86402,Fax,1,9/21/2017
622,44896,Fax,4,1/4/2018
315,22716,Telephone,2,1/15/2016
376,66064,Web,2,8/5/2015
660,58508,Sales visit,2,5/20/2017
920,97258,Web,2,11/29/2018
351,53728,Sales visit,1,2/22/2018
886,83166,Telephone,2,12/19/2016
816,31974,Telephone,3,3/6/2018
998,15192,Fax,3,11/24/2017
672,77304,Web,3,8/9/2015
681,16479,Telephone,2,10/3/2017
452,66017,Sales visit,1,3/6/2019
277,48922,Telephone,1,5/29/2018
550,85430,Web,4,11/24/2017
488,78738,Fax,1,3/12/2016
663,88586,Web,4,9/1/2016
271,10883,Sales visit,4,1/31/2018
594,62245,Sales visit,2,3/12/2017
994,84168,Fax,4,6/15/2016
265,85401,Fax,2,6/26/2015
497,67939,Telephone,4,1/29/2016
408,94742,Fax,3,8/23/2015
428,79232,Sales visit,2,6/26/2016
930,78041,Mail,1,11/4/2016
588,42437,Mail,3,1/9/2019
274,62882,Mail,4,2/20/2017
484,52603,Fax,3,6/3/2018
160,87376,Mail,4,1/21/2017
610,37770,Web,1,6/13/2015
559,66202,Telephone,2,3/3/2019
177,97229,Sales visit,1,1/1/2018
597,88035,Web,3,5/9/2016
651,35345,Sales visit,3,1/16/2019
253,20629,Web,3,9/28/2016
849,75252,Web,1,12/3/2017
979,65089,Telephone,3,10/9/2017
934,24845,Sales visit,4,5/2/2018
853,81448,Mail,2,11/24/2015
598,61188,Sales visit,3,5/31/2016
340,88512,Mail,1,10/20/2018
465,46615,Telephone,4,6/23/2017
192,46094,Sales visit,1,3/18/2017
967,30099,Fax,1,9/14/2016
652,40422,Fax,4,4/1/2019
743,27967,Sales visit,1,12/10/2015
652,55944,Sales visit,1,3/26/2019
746,32297,Web,1,3/27/2016
716,24015,Web,2,2/1/2016
115,44646,Web,3,12/24/2018
530,68958,Telephone,1,3/25/2018
752,13148,Fax,4,4/18/2017
452,80281,Sales visit,2,6/16/2017
965,42077,Telephone,2,9/21/2015
666,57005,Web,3,2/7/2017
763,13074,Sales visit,1,11/14/2015
407,83166,Fax,2,4/4/2018
547,33117,Web,2,10/25/2018
746,14236,Telephone,1,5/7/2018
759,58930,Fax,2,6/22/2018
212,43866,Mail,2,8/19/2017
173,77473,Web,1,8/27/2015
201,55259,Fax,4,3/27/2018
455,54004,Web,2,10/19/2018
130,16858,Mail,4,5/13/2018
722,91810,Fax,4,5/2/2015
432,68958,Sales visit,4,10/27/2018
498,86277,Sales visit,3,3/8/2017
387,36655,Sales visit,4,8/28/2018
777,40720,Sales visit,3,2/19/2017
374,79056,Telephone,3,11/9/2015
158,36518,Telephone,3,5/19/2016
353,47011,Mail,1,9/1/2015
732,72232,Telephone,2,1/2/2017
818,36006,Web,2,3/18/2018
388,90328,Sales visit,2,3/25/2017
939,67639,Sales visit,3,3/12/2017
241,59535,Mail,3,6/4/2015
169,63229,Web,4,5/4/2016
155,54254,Sales visit,3,11/7/2017
993,34891,Telephone,3,12/28/2017
424,74353,Sales visit,3,3/19/2017
444,12541,Sales visit,4,3/26/2019
236,13058,Telephone,2,1/20/2017
954,83786,Web,1,11/17/2015
279,54563,Telephone,4,10/26/2017
639,18297,Sales visit,3,12/12/2018
735,66667,Web,4,10/30/2017
943,59977,Web,3,5/14/2017
186,93675,Web,2,10/20/2015
408,53153,Sales visit,3,5/2/2015
452,12218,Telephone,3,8/8/2017
387,89614,Telephone,1,8/16/2017
201,60112,Web,4,4/16/2015
519,21598,Mail,3,6/7/2015
633,74159,Fax,2,9/21/2015
984,92616,Web,3,11/24/2016
271,17231,Sales visit,3,9/20/2016
244,41390,Sales visit,1,5/7/2015
215,32062,Sales visit,4,4/16/2015
595,64228,Sales visit,3,2/26/2016
466,74367,Sales visit,1,11/8/2018
376,89807,Fax,4,1/29/2016
373,54328,Mail,4,8/16/2016
905,81367,Sales visit,1,2/9/2016
963,10402,Web,3,8/9/2015
383,76337,Sales visit,1,5/20/2015
469,44892,Web,1,2/5/2019
441,37660,Mail,2,8/8/2016
899,46989,Fax,2,5/24/2015
561,97926,Mail,3,11/10/2017
491,15062,Sales visit,1,4/29/2017
234,98681,Fax,1,2/17/2016
643,15699,Fax,4,4/4/2017
410,18188,Sales visit,4,11/18/2016
977,99530,Sales visit,1,8/10/2016
658,97752,Sales visit,2,1/24/2016
177,13058,Web,4,2/9/2018
907,89833,Sales visit,3,1/22/2019
561,60684,Fax,1,5/7/2017
590,74547,Telephone,2,10/18/2016
512,22212,Fax,3,7/3/2018
718,82367,Web,3,1/11/2017
475,49361,Web,4,11/15/2016
700,52528,Fax,2,7/29/2018
935,47247,Web,1,7/30/2017
673,71317,Fax,4,6/25/2015
884,71807,Fax,3,8/18/2018
836,73620,Telephone,2,12/20/2015
210,77733,Fax,1,6/29/2018
630,30468,Mail,1,5/1/2017
820,87074,Mail,2,11/22/2015
269,54217,Web,4,8/25/2018
928,73492,Sales visit,3,4/22/2015
161,64671,Fax,1,11/18/2016
365,99231,Sales visit,2,10/14/2017
380,53964,Sales visit,2,12/25/2015
897,67647,Sales visit,3,8/18/2015
709,42886,Mail,4,12/7/2018
732,61188,Mail,3,6/27/2017
410,68406,Fax,2,12/21/2018
446,26490,Sales visit,3,9/23/2016
315,27645,Sales visit,3,2/1/2017
564,38562,Web,4,11/10/2017
931,78072,Telephone,4,8/8/2018
660,36095,Telephone,3,3/4/2018
273,16479,Web,4,9/29/2016
738,47475,Sales visit,2,10/25/2016
563,54662,Telephone,1,1/24/2019
406,19717,Telephone,3,10/11/2015
811,52689,Sales visit,4,9/12/2018
380,36730,Mail,1,1/26/2017
952,85288,Sales visit,1,5/8/2018
630,10345,Sales visit,2,9/12/2017
438,63057,Mail,4,6/15/2018
951,59011,Web,2,7/18/2015
509,96878,Web,3,4/6/2016
896,83420,Fax,1,2/8/2019
854,17788,Fax,2,6/24/2017
427,78564,Fax,4,1/12/2019
926,34719,Telephone,2,10/2/2018
641,20272,Mail,4,10/13/2015
799,73255,Sales visit,1,7/13/2017
143,42018,Telephone,1,6/23/2015
231,19830,Fax,2,10/2/2018
690,42455,Mail,3,2/19/2017
388,98962,Mail,1,4/28/2016
693,97752,Telephone,4,11/24/2017
833,45920,Telephone,2,10/3/2018
876,81501,Telephone,2,6/16/2015
660,45859,Sales visit,3,11/16/2018
315,40005,Sales visit,1,5/29/2018
173,56044,Telephone,1,4/22/2018
921,10297,Mail,3,4/4/2018
639,27967,Sales visit,4,7/26/2015
430,95346,Telephone,2,10/21/2018
700,98719,Telephone,3,4/20/2017
837,59011,Telephone,3,2/4/2019
570,65407,Sales visit,3,8/12/2015
499,42879,Web,2,4/7/2018
794,87074,Fax,3,5/21/2016
381,70036,Mail,2,10/19/2017
840,69197,Web,3,4/11/2018
967,26291,Fax,1,8/20/2017
726,81444,Sales visit,2,8/16/2018
810,10652,Web,4,4/25/2018
693,81221,Fax,2,10/7/2015
403,56072,Sales visit,1,4/29/2018
681,25038,Mail,2,2/15/2016
123,43014,Telephone,2,9/29/2018
407,44734,Sales visit,3,11/23/2015
350,67104,Mail,3,4/18/2015
332,41923,Web,3,4/4/2018
114,80732,Sales visit,4,10/24/2017
909,49249,Sales visit,4,4/12/2017
194,29296,Telephone,3,10/8/2018
